x,Scheme [25],Scheme [27],Scheme [31],FLEX-DIAM-EHR
1,0.041,281.753,499.744,21.949
2,0.053,484.492,1014.964,43.485
3,0.057,740.755,1537.330,66.529
5,0.069,1176.952,2523.336,111.392
8,0.086,2044.346,4014.123,179.592
10,0.099,2439.534,5187.245,221.879
15,0.125,3724.959,7688.069,336.078
20,0.159,4933.225,10329.561,445.134
25,0.186,6081.131,12883.258,613.481
35,0.242,8639.728,17794.953,785.164
50,0.350,12521.234,25671.920,1133.486
