x,Scheme [25],Scheme [27],Scheme [31],FLEX-DIAM-EHR
1,85.981,,110.048,86.100
2,168.683,,233.441,170.493
3,261.994,,333.571,251.102
5,433.117,,543.001,416.877
8,667.033,,954.919,710.391
10,856.041,,1085.325,853.747
15,1249.703,,1658.463,1307.348
20,1767.174,,2218.009,1749.977
25,2234.338,,2774.136,2137.543
35,3062.825,,3741.034,3011.665
50,4364.866,,5341.505,4203.897
