x,Scheme [25],Scheme [27],Scheme [31],FLEX-DIAM-EHR
1,85.492,,166.675,127.920
2,182.123,,335.044,134.839
3,260.168,,527.204,130.716
5,439.495,,837.591,127.858
8,724.941,,1347.879,129.369
10,906.611,,1699.987,127.366
15,1327.060,,2645.575,127.814
20,1830.287,,3446.023,128.959
30,2565.806,,5335.989,128.811
50,4479.806,,9022.818,128.011
75,6699.548,,13541.258,135.172
100,8435.738,,18748.303,130.050
150,13209.890,,28204.129,140.615
200,17971.529,,39186.147,130.976
