x,Scheme [25],Scheme [27],Scheme [31],FLEX-DIAM-EHR
0.25,0.355,297.837,0.482,1.409
0.5,0.665,237.492,0.521,2.674
0.75,0.875,241.705,0.884,3.810
1.0,1.731,238.811,1.172,5.430
1.5,2.695,271.648,1.713,7.960
2.0,2.137,258.730,2.098,10.341
2.5,2.633,269.585,2.586,12.917
3.5,3.682,245.091,3.570,18.013
5.0,5.182,269.550,5.099,25.281
7.5,7.631,246.441,7.628,38.814
10.0,10.801,269.368,10.777,51.275
15.0,15.012,274.353,15.245,76.359
