x,Scheme [25],Scheme [27],Scheme [31],FLEX-DIAM-EHR
1,,13670.156,,14084.608
2,,26696.982,,27811.475
3,,41073.073,,43142.689
5,,69677.004,,70154.431
7,,98816.029,,101998.174
10,,181643.723,,147904.873
15,,219538.329,,217616.382
20,,277325.084,,275363.136
30,,414496.473,,409195.956
50,,683834.895,,684915.770
